smiles,prediction,hit_id,cd_formula,cd_molweight,Cluster,MurckoScaffold,Index,Score,source_file
CN(C1CCN(Cc2cn(C)nc2C(F)F)CC1)c1ccncn1,0.9993062,TITAN217879388,C16H22F2N6,336.391,1161707,c1cc(NC2CCN(Cc3cn[nH]c3)CC2)ncn1,431366,1.0,split_005_merged_output.csv
Cn1cc(CN2CCN(Cc3cccc(Br)c3F)CC2)c(n1)C(F)F,0.99912113,TITAN218836057,C17H20BrF3N4,417.274,101944,c1ccc(CN2CCN(Cc3cn[nH]c3)CC2)cc1,127494,0.99,split_006_merged_output.csv
CC(=O)N1CCCC1C1CCCN1c1cccc(F)c1C#N,0.99904579,TITAN103993111,C17H20FN3O,301.365,1753883,c1ccc(N2CCCC2C2CCCN2)cc1,296552,0.99,split_009_merged_output.csv
Clc1ccc(C(=O)N2CCN(CC2)C2CCNC2)c(Br)c1,0.99902916,TITAN216503975,C15H19BrClN3O,372.69,151724,O=C(c1ccccc1)N1CCN(C2CCNC2)CC1,125607,0.99,split_007_merged_output.csv
Cc1ccc(NC(=O)CSc2nnc(-c3ccc(Br)cc3)n2C2CCCCC2)c(C)c1,0.99900877,TITAN101469668,C24H27BrN4OS,499.47,45775,O=C(CSc1nnc(-c2ccccc2)n1C1CCCCC1)Nc1ccccc1,223294,0.99,split_003_merged_output.csv
Fc1ccc(CN2CCCCC2c2nnc3CCCCn23)cc1C(F)(F)F,0.99899143,TITAN213640719,C19H22F4N4,382.407,540354,c1ccc(CN2CCCCC2c2nnc3n2CCCC3)cc1,350835,0.99,split_011_merged_output.csv
CC(C)CC1N(Cc2cc(C#N)c(F)cc2F)CCCNC1=O,0.99894339,TITAN217183361,C17H21F2N3O,321.372,230150,O=C1CN(Cc2ccccc2)CCCN1,351562,0.99,split_014_merged_output.csv
[H][C@@]12CN(C[C@@]([H])(C1)c1ccc(CN3CCCC3)c(=O)n1C2)C(=O)c1csc(CCC)n1,0.99893516,TITAN218911513,C23H30N4O2S,426.58,1126298,O=C(c1cscn1)N1C[C@@H]2C[C@H](C1)c1ccc(CN3CCCC3)c(=O)n1C2,373692,1.0,split_005_merged_output.csv
CCCC[C@@H]1CN(Cc2cc(=O)n3nc(C)cc3[nH]2)C[C@@H](O1)C1CC1,0.99890816,TITAN211918937,C19H28N4O2,344.459,3234880,O=c1cc(CN2CCO[C@@H](C3CC3)C2)[nH]c2ccnn12,51415,0.99,split_020_merged_output.csv
N[C@H]1CN(C[C@@H]1C1CC1)c1ncc(F)c(n1)N1CCOCC1,0.99887437,TITAN107235546,C15H22FN5O,307.373,2738246,c1cc(N2CCOCC2)nc(N2CC[C@@H](C3CC3)C2)n1,390935,1.0,split_017_merged_output.csv
